Ang_dev,BX,BY,BZ,ChisQ_DOF_nonlin,EW_flowangle,NS_flowangle,Proton_Np_moment,Proton_Np_nonlin,Proton_VX_moment,Proton_VX_nonlin,Proton_VY_moment,Proton_VY_nonlin,Proton_VZ_moment,Proton_VZ_nonlin,Proton_V_moment,Proton_V_nonlin,Proton_W_moment,Proton_W_nonlin,Proton_Wpar_moment,Proton_Wpar_nonlin,Proton_Wperp_moment,Proton_Wperp_nonlin,Proton_sigmaNp_nonlin,Proton_sigmaVX_nonlin,Proton_sigmaVY_nonlin,Proton_sigmaVZ_nonlin,Proton_sigmaV_nonlin,Proton_sigmaW_nonlin,Proton_sigmaWpar_nonlin,Proton_sigmaWperp_nonlin,dev,xgse,ygse,ygsm,zgse,zgsm,target
2.260966063,9.862092018,9.694685936,-15.41589546,0.51045078,29.03844643,-1.170430064,5.319997787,6.018695831,-322.9320068,-314.8687439,-109.3959961,-174.8108978,-6.971823692,-7.357922554,341.0295715,360.2156677,87.34367371,104.2120209,101.4383545,78.70291901,88.49475861,114.8614044,0.188851103,81.80428314,84.72415924,3.503901482,82.48435211,34.26179886,40.81014633,44.48224258,1.042432547,-3.76969552,-22.4355011,-19.14731789,0.167501956,11.69566059,1
3.271955729,9.358575821,9.842059135,-14.58180523,0.135505915,27.59985924,-1.412204146,4.825559139,4.824574947,-321.5223694,-315.5549927,-105.6669846,-164.9671783,-14.56155014,-8.778166771,338.7538757,356.1828003,90.01637268,103.5381241,102.8711014,78.0256424,92.29453278,114.1762466,0.202360526,95.72771454,88.02468109,5.098436356,94.09896851,43.94625854,53.27138138,56.93879318,1.21600461,-3.753779411,-22.46306801,-19.15963364,0.169553161,11.72834015,1
3.531526804,9.641428947,8.978185654,-15.52644634,1.273780942,28.62607956,-0.44029659,4.533868313,3.746752739,-324.812561,-325.2267761,-117.4121094,-177.5114746,-2.442603827,-2.84733963,345.3907471,370.5278625,89.1550293,80.4553299,103.2906647,62.91461563,92.32128906,87.92306519,0.054615546,82.71544647,84.19398499,1.32804513,83.0546875,23.45586777,34.26016235,29.77074814,0.618697047,-3.690070868,-22.57299995,-19.20920563,0.177755401,11.85749531,1
3.266086817,3.082434177,2.533876181,-16.98825645,0.120957859,32.40911484,2.434747934,7.202614307,9.320969582,-323.6497803,-312.8851929,-113.0065918,-198.6328125,1.033513188,15.7583456,342.8129883,370.9453735,95.57553864,121.4426498,80.75611877,95.58790588,108.7095718,132.491333,0.046604846,13.0586834,14.11772537,2.1080091,13.35971546,9.566652298,32.1412735,6.21121788,0.501555979,-3.434647799,-23.00803566,-19.4144268,0.210525632,12.34917068,1
3.495192051,8.139178276,6.620408058,-14.91298485,0.095971495,29.81866646,3.754755259,7.327684879,8.56952858,-343.7854004,-334.7059326,-118.2374573,-191.8327332,13.30893612,25.31765366,363.793396,386.6119995,107.1555481,126.3577652,117.5648651,108.3613205,114.5916672,134.4557037,0.042847641,4.2024436,4.345330238,1.037555218,4.229671001,2.047479391,3.576171875,2.500750542,0.691309094,-3.21011138,-23.38529968,-19.60206223,0.239229813,12.75587654,1
5.480261803,10.22325039,8.519691467,-12.6775732,2.146250963,31.82286644,2.240105152,6.887508869,5.365239143,-342.790802,-338.9735413,-125.511795,-210.3598328,0.655073583,15.60545158,365.046814,399.246582,105.5396271,100.6714401,126.3364868,81.47940826,108.6988754,109.0076141,0.118251547,123.6412888,119.8295593,8.952281952,122.5001907,38.32995987,39.64012909,50.9895134,0.812221169,-3.194081068,-23.41194153,-19.61590958,0.241273224,12.78344727,1
4.071647167,8.214532852,7.184793949,-14.95890045,0.114020921,31.49292374,2.787606955,6.489505291,7.820158958,-344.8017273,-336.0597534,-123.2122345,-205.8805847,8.334322929,19.18976402,366.2498169,394.5772705,106.520195,125.7292023,116.8733902,112.5891571,114.4783936,131.8089142,0.145052209,97.8285675,94.78045654,9.387150764,96.89254761,36.7424202,59.9509697,45.91477585,0.645469725,-3.178047419,-23.43855095,-19.62982941,0.243316308,12.81081867,1
3.574564934,7.82451582,6.420115948,-14.81702328,0.777438104,29.81829834,3.661316872,6.895533562,9.458946228,-338.5959473,-334.2996826,-131.3416901,-191.5970459,11.15576172,24.65582275,363.3487549,386.1005249,100.9134216,160.4572144,106.964653,120.3150635,117.9397049,177.1494293,0.068437614,38.50018311,38.92215729,8.37908268,38.52986908,23.00533867,39.29566574,28.26472855,0.950088441,-3.16201067,-23.46512794,-19.64382744,0.245359063,12.83799076,1
5.198178768,6.763274193,5.553749561,-14.49769115,0.063796051,31.02892494,4.412576199,6.436796665,8.108298302,-334.2426147,-326.9604797,-125.3364563,-196.6823883,14.15799809,29.44359779,357.2503357,382.6931458,100.1896057,128.4951324,101.0604401,115.5665741,117.7194443,134.4941711,0.055054434,35.37827301,37.94632721,9.44865799,35.97887039,17.50945091,35.70782089,19.85666275,0.859090269,-3.145970821,-23.49167252,-19.65790558,0.247401461,12.86495972,1
4.62092638,7.050615311,5.269898415,-15.15335369,0.141280353,27.25499344,2.01120162,8.703827858,10.16096592,-352.7995605,-353.9988708,-115.8956604,-182.3604431,5.905049801,13.98371887,371.394928,398.4546204,107.3415222,124.2461777,128.8655701,112.7344284,113.1472168,129.6192322,0.148656189,74.71903992,72.29449463,5.65371418,74.17167664,29.81736946,61.50347519,33.50627136,1.634836316,-3.113881588,-23.54466629,-19.68630791,0.251485229,12.91828442,1
